detecteddistrict,detectedstate,population,long,lat
Raisen,Madhya Pradesh,1331597,77.78333,23.31667
Rajanna Sircilla ,Telangana,552037,78.728962,18.413515
Rajgarh,Madhya Pradesh,1545814,76.9,23.91
Rajkot,Gujarat,3015229,70.79836,22.29691
Rajnandgaon,Chhattisgarh,1537133,81.03,21.1
Rajouri,Jammu and Kashmir,642415,74.308121,33.282555
Rajsamand,Rajasthan,1156597,73.86667,25.06667
Ramanagara,Karnataka,1082636,77.27957,12.71997
Ramanathapuram,Tamil Nadu,1353445,78.83333,9.38333
Ramban,Jammu and Kashmir,283713,75.24,33.24
Ramgarh,Jharkhand,949443,85.52,23.62
Rampur,Uttar Pradesh,2335819,79.029,28.809
Ranchi,Jharkhand,2914253,85.33472,23.35556
Rangareddy,Telangana,2446265,78.104447,17.277841
Ratlam,Madhya Pradesh,1455069,75.06667,23.31667
Ratnagiri,Maharashtra,1615069,73.3,16.98333
Rayagada,Odisha,967911,83.416,19.166
Reasi,Jammu and Kashmir,314667,74.8265,33.082
Rewa,Madhya Pradesh,2365106,81.28333,24.51667
Rewari,Haryana,900332,76.61667,28.18333
Ribhoi,Meghalaya,258840,91.88,25.57
Rohtak,Haryana,1061204,76.56667,28.9
Rohtas,Bihar,2959918,84.01,24.95
Rudraprayag,Uttarakhand,242285,78.98167,30.28611
Rupnagar,Punjab,684627,76.53306,30.96639
Sabar Kantha,Gujarat,1388671,73.34,23.67
Sagar,Madhya Pradesh,2378458,78.71,23.83
Saharanpur,Uttar Pradesh,3466382,77.68333,29.9
Saharsa,Bihar,1900661,86.6,25.88
Sahibganj,Jharkhand,1150567,87.65,25.25
Sahibzada Ajit Singh Nagar,Punjab,994628,75.868167,30.885977
Saiha,Mizoram,56574,92.98,22.49
Salem,Tamil Nadu,3482056,78.16667,11.65
Samastipur,Bihar,4261566,85.78317175,25.8622835
Samba,Jammu and Kashmir,318898,75.12,32.57
Sambalpur,Odisha,1041099,83.983,21.466
Sambhal ,Uttar Pradesh,2199774,78.55,28.58
Sangareddy ,Telangana,1527628,77.969813,17.635288
Sangli,Maharashtra,2822143,74.56667,16.86667
Sangrur,Punjab,1655169,75.83333,30.23333
Sant Kabir Nagar,Uttar Pradesh,1715183,83.06,26.78
Saraikela-kharsawan,Jharkhand,1065056,86.16,22.78
Saran,Bihar,3951862,84.75,25.91667
Satara,Maharashtra,3003741,73.98333,17.68333
Satna,Madhya Pradesh,2228935,80.8248,24.5822
Sawai Madhopur,Rajasthan,1335551,76.35361,26.02111
Sehore,Madhya Pradesh,1311332,77.08,23.2
Senapati,Manipur,285404,94.01667,25.26667
Seoni,Madhya Pradesh,1379131,79.53,22.08
Serchhip,Mizoram,64937,92.85,23.31
Shahdara ,Delhi,1110751,77.2983,28.6679
Shahdol,Madhya Pradesh,1066063,81.35,23.28
Shahid Bhagat Singh Nagar,Punjab,612310,74.253189,30.597698
Shahjahanpur,Uttar Pradesh,3006538,79.91581,27.88252
Shajapur,Madhya Pradesh,941403,76.27,23.43
Shamli ,Uttar Pradesh,1273578,77.32,29.45
Sheikhpura,Bihar,636342,85.811093,25.125392
Sheohar,Bihar,656246,85.3,26.5167
Sheopur,Madhya Pradesh,687861,76.7,25.67
Shimla,Himachal Pradesh,814010,77.17222,31.10333
Shimoga,Karnataka,1752753,75.28,14
Shivpuri,Madhya Pradesh,1726050,77.66,25.42
Shrawasti,Uttar Pradesh,1117361,81.93484,27.70196
Shupiyan,Jammu and Kashmir,266215,74.83,33.72
Siang ,Arunachal Pradesh,31920,93.37,27.06
Siddharthnagar,Uttar Pradesh,2559297,83.026931,27.188917
Siddipet ,Telangana,1012065,78.85,18.1
Sidhi,Madhya Pradesh,1127033,81.88,24.42
Sikar,Rajasthan,2677333,75.13972,27.61194
Simdega,Jharkhand,599578,84.5,22.61
Sindhudurg,Maharashtra,849651,73.71,16.26
Singrauli,Madhya Pradesh,1178273,82.67,24.2
Sipahijala ,Tripura,479975,91.31,23.64
Sirmaur,Himachal Pradesh,529855,77.294,30.5594
Sirohi,Rajasthan,1036346,72.8625,24.885
Sirsa,Haryana,1295189,75.076449,29.573876
Sitamarhi,Bihar,3423574,85.465667,26.458918
Sitapur,Uttar Pradesh,4483992,80.68333,27.56667
Sivaganga,Tamil Nadu,1339101,78.4836,9.847
Sivasagar,Assam,692435,94.63,26.98
Siwan,Bihar,3330464,84.36,26.22
Solan,Himachal Pradesh,580320,77.12,30.92
Solapur,Maharashtra,4317756,75.91667,17.68333
Sonbhadra,Uttar Pradesh,1862559,83.02,24.2
Sonipat,Haryana,1450001,77.01139,28.99583
Sonitpur,Assam,1311619,92.8,26.63
South,Delhi,1231293,88.5,27.18
South Andaman,Andaman and Nicobar Islands,238142,92.7216,11.7003
South District,Sikkim,146850,88.5,27.18
South East ,Delhi,1500636,77.21667,28.66667
South Garo Hills,Meghalaya,142334,90.63333,25.2
South Goa,Goa,640537,73.9583,15.2724
South Salmara-Mankachar ,Assam,555114,91.77,26.14
South Tripura,Tripura,446764,91.65353,23.183439
South Twenty Four Parganas,West Bengal,8161961,88.36667,22.56667
South West,Delhi,2292958,88.25,27.3333
South West Garo Hills ,Meghalaya,172500,90.2167,25.5167
South West Khasi Hills ,Meghalaya,110200,91.195685,25.317698
Sri Potti Sriramulu Nellore,Andhra Pradesh,2963557,79.97,14.43
Srikakulam,Andhra Pradesh,2703114,83.9,18.3
Srinagar,Jammu and Kashmir,1236829,74.80611,34.09111
Subarnapur,Odisha,610183,84.179527,20.868966
Sukma ,Chhattisgarh,250159,81.314707,18.277715
Sultanpur,Uttar Pradesh,2249036,82.11667,26.45
Sundargarh,Odisha,2093437,84.03333,22.11667
Supaul,Bihar,2229076,86.5953,26.115
Surajpur ,Chhattisgarh,789043,82.8684,23.2135
Surat,Gujarat,6081322,72.83,21.17
Surendranagar,Gujarat,1585268,71.71667,22.71667
Surguja,Chhattisgarh,840352,83.2,23.11667
Suryapet ,Telangana,1099560,79.6167,17.15
Tamenglong,Manipur,103980,93.48333,24.98333
Tapi,Gujarat,807022,73.4,21.12
Tarn Taran,Punjab,1119627,74.8164,31.3269
Tawang,Arunachal Pradesh,49977,91.87,27.58
Tehri Garhwal,Uttarakhand,618931,78.48,30.38
Tengnoupal ,Manipur,59110,94.254649,24.381251
Thane,Maharashtra,8070032,72.97,19.2
Thanjavur,Tamil Nadu,2405890,79.15,10.8
The Dangs,Gujarat,228291,72.68333,23.21667
The Nilgiris,Tamil Nadu,735394,76.71,11.41
Theni,Tamil Nadu,1245899,77.48333,10
Thiruvallur,Tamil Nadu,3728104,79.9089,13.1438
Thiruvananthapuram,Kerala,3301427,76.89972,8.5
Thiruvarur,Tamil Nadu,1264277,79.65,10.76667
Thoothukkudi,Tamil Nadu,1750176,78.13333,8.78333
Thoubal,Manipur,286687,93.98333,24.65
Thrissur,Kerala,3121200,76.21,10.52
Tikamgarh,Madhya Pradesh,1445166,78.83,24.74
Tinsukia,Assam,1327929,95.35992,27.48905
Tirap,Arunachal Pradesh,55022,95.50284,26.9907
Tiruchirappalli,Tamil Nadu,2722290,78.709334,10.761767
Tirunelveli,Tamil Nadu,3077233,77.70806,8.72889
Tiruppur,Tamil Nadu,2479052,77.25,11.18
Tiruvannamalai,Tamil Nadu,2464875,79.08333,12.25
Tonk,Rajasthan,1421326,75.78333,26.16667
Tuensang,Nagaland,196596,94.81667,26.23333
Tumkur,Karnataka,2678980,77.10167,13.34222
Udaipur,Rajasthan,3068420,73.68333,24.58333
Udalguri,Assam,831668,92.0962,26.7452
Udham Singh Nagar,Uttarakhand,1648902,79.39,28.98
Udhampur,Jammu and Kashmir,554985,75.13,32.93
Udupi,Karnataka,1177361,74.74611,13.33222
Ujjain,Madhya Pradesh,1986864,75.77722,23.18278
Ukhrul,Manipur,138382,94.36667,25.11667
Umaria,Madhya Pradesh,644758,80.83811,23.52685
Una,Himachal Pradesh,521173,76.27028,31.47611
Unnao,Uttar Pradesh,3108367,80.48,26.55
Unokoti ,Tripura,276506,92.01995,24.23658
Upper Siang,Arunachal Pradesh,35320,95.0475,28.6104
Upper Subansiri,Arunachal Pradesh,83448,94,28.3
Uttar Bastar Kanker,Chhattisgarh,748941,81.49306,20.27194
Uttar Dinajpur,West Bengal,3007134,87.311418,22.455431
Uttara Kannada,Karnataka,1437169,77.56029,12.97021
Uttarkashi,Uttarakhand,330086,78.44278,30.72917
Vadodara,Gujarat,3093795,73.2,22.3
Vaishali,Bihar,3495021,85.12559,25.9866
Valsad,Gujarat,1705678,72.93333,20.63333
Varanasi,Uttar Pradesh,3676841,83.00611,25.30694
Vellore,Tamil Nadu,3936331,79.13333,12.93333
Vidisha,Madhya Pradesh,1458875,77.8061,23.5239
Vikarabad ,Telangana,927140,77.9,17.33
Viluppuram,Tamil Nadu,3458873,79.579256,11.959653
Virudhunagar,Tamil Nadu,1942288,77.96667,9.6
Visakhapatnam,Andhra Pradesh,4290589,83.21876,17.68838
Vizianagaram,Andhra Pradesh,2344474,83.42,18.12
Wanaparthy ,Telangana,577758,78.0627,16.361
Warangal Rural ,Telangana,718537,79.60111,17.97556
Warangal Urban ,Telangana,1080858,79.60111,17.97556
Wardha,Maharashtra,1300774,78.61667,20.75
Washim,Maharashtra,1197160,77.15,20.1
Wayanad,Kerala,817420,76.083,11.605
West,Delhi,2543243,120.687727,24.134535
West District,Sikkim,136435,88.25,27.3333
West Garo Hills,Meghalaya,518400,90.2167,25.5167
West Godavari,Andhra Pradesh,3995742,81.33333,16.91667
West Jaintia Hills ,Meghalaya,270400,92.265552,25.43313
West Kameng,Arunachal Pradesh,83947,92.4,27.25
West Karbi Anglong ,Assam,295358,93.5,26
West Khasi Hills,Meghalaya,294100,91.2667,25.5167
West Siang,Arunachal Pradesh,71492,94.55,28.4
West Tripura,Tripura,918200,91.5,23.91667
Wokha,Nagaland,166343,94.27,26.1
Y.S.R.,Andhra Pradesh,2882469,78.83,14.46
Yadadri Bhuvanagiri ,Telangana,739448,78.89,17.51
Yadgir,Karnataka,1174271,77.13333,16.76667
Yamunanagar,Haryana,1214205,77.28028,30.12889
Yanam,Puducherry,55626,79.83,11.93
Yavatmal,Maharashtra,2772348,78.13333,20.4
Zunheboto,Nagaland,140757,94.51667,26.01667
