detecteddistrict,detectedstate,population,long,lat
Changlang,Arunachal Pradesh,148226,95.74,27.13
Charaideo ,Assam,458615,91.77,26.14
Charkhi Dadri ,Haryana,502276,76.27,28.59
Chatra,Jharkhand,1042886,84.87704,24.20451
Chennai,Tamil Nadu,4646732,80.27,13.08389
Chhatarpur,Madhya Pradesh,1762375,79.6,24.9
Chhindwara,Madhya Pradesh,2090922,78.94806,22.05972
Chhota Udaipur ,Gujarat,1071831,74.0158,22.304
Chikkaballapura,Karnataka,1255104,77.56029,12.97021
Chikmagalur,Karnataka,1137961,75.78333,13.31667
Chirang,Assam,482162,90.647737,26.64781
Chitradurga,Karnataka,1659456,76.4,14.23333
Chitrakoot,Uttar Pradesh,991730,80.91528,25.21361
Chittaurgarh,Rajasthan,1544338,74.62389,24.88944
Chittoor,Andhra Pradesh,4174064,79.11667,13.2
Churachandpur,Manipur,226884,93.68333,24.33333
Churu,Rajasthan,2039547,74.95,28.3
Coimbatore,Tamil Nadu,3458045,76.970402,10.999579
Cooch Behar ,West Bengal,2819086,89.43333,26.31667
Cuddalore,Tamil Nadu,2605914,79.75,11.75
Cuttack,Odisha,2624470,85.86667,20.45
Dadra and Nagar Haveli,Dadra and Nagar Haveli,343709,73.06,20.13
Dakshin Bastar Dantewada,Chhattisgarh,283479,81.9296,19.2031
Dakshin Dinajpur,West Bengal,1676276,87.857841,25.413744
Dakshina Kannada,Karnataka,2089649,75.4,13
Daman,Daman and Diu,191173,72.85,20.42694
Damoh,Madhya Pradesh,1264219,79.45,23.84
Darbhanga,Bihar,3937385,85.9,26.16667
Darjiling,West Bengal,1595181,88.131065,27.058261
Darrang,Assam,928500,92.12,26.51
Datia,Madhya Pradesh,786754,78.47,25.67
Dausa,Rajasthan,1634409,76.33,26.9
Davanagere,Karnataka,1945497,75.9233,14.4647
Debagarh,Odisha,312520,84.73,21.53
Dehradun,Uttarakhand,1696694,78.06,30.33
Deoghar,Jharkhand,1492073,86.7,24.48
Deoria,Uttar Pradesh,3100946,83.77917,26.50167
Devbhumi Dwarka ,Gujarat,752484,68.96861,22.24028
Dewas,Madhya Pradesh,1563715,76.05526,22.96585
Dhalai,Tripura,378230,91.85,23.93333
Dhamtari,Chhattisgarh,799781,81.55,20.71
Dhanbad,Jharkhand,2684487,86.41,23.78
Dhar,Madhya Pradesh,2185793,75.3,22.6
Dharmapuri,Tamil Nadu,1506843,78.158,12.127
Dharwad,Karnataka,1847023,75.01667,15.46667
Dhaulpur,Rajasthan,1206516,77.9,26.7
Dhemaji,Assam,686133,94.58,27.48
Dhenkanal,Odisha,1192811,85.6,20.67
Dhubri,Assam,1394144,89.9667,26.0333
Dhule,Maharashtra,2050862,74.78333,20.9
Dibang Valley ,Arunachal Pradesh,8004,95.7,28.7
Dibrugarh,Assam,1326335,95,27.48333
Dima Hasao,Assam,214102,91.77,26.14
Dimapur,Nagaland,378811,93.74167,25.9125
Dindigul,Tamil Nadu,2159775,77.95,10.35
Dindori,Madhya Pradesh,704524,81.08333,22.95
Diu,Daman and Diu,52074,72.85,20.42694
Doda,Jammu and Kashmir,409936,76.24,33.45
Dohad,Gujarat,2127086,74.255926,22.848536
Dumka,Jharkhand,1321442,87.25,24.27
Dungarpur,Rajasthan,1388552,73.72,23.83
Durg,Chhattisgarh,1721948,81.28,21.19
East Delhi,Delhi,1461440,77.29,28.64
East District,Sikkim,283583,88.61,27.32
East Garo Hills,Meghalaya,132300,90.61682,25.49546
East Godavari,Andhra Pradesh,5285824,82.15,16.57
East Jaintia Hills ,Meghalaya,122400,92.33,25.37
East Kameng,Arunachal Pradesh,78690,93.05,27.3
East Khasi Hills,Meghalaya,825922,91.8833,25.5667
East Siang,Arunachal Pradesh,70956,95.3333,28.0667
Ernakulam,Kerala,3282388,76.28361,9.97833
Erode,Tamil Nadu,2251744,77.73333,11.35
Etah,Uttar Pradesh,1774480,78.75,27.5
Etawah,Uttar Pradesh,1581810,79.03,26.77
Faizabad,Uttar Pradesh,2470996,82.13333,26.78333
Faridabad,Haryana,1809733,77.3,28.41667
Faridkot,Punjab,617508,74.75,30.65
Farrukhabad,Uttar Pradesh,1885204,79.5801,27.3905
Fatehabad,Haryana,942011,75.455,29.51167
Fatehgarh Sahib,Punjab,600163,76.39,30.65
Fatehpur,Uttar Pradesh,2632733,80.8,25.9333
Fazilka ,Punjab,1203445,74.025,30.403
Firozabad,Uttar Pradesh,2498156,78.42,27.15
Firozpur,Punjab,825629,74.6,30.9166
Gadag,Karnataka,1064570,75.75,15.4
Gadchiroli,Maharashtra,1072942,80.00528,20.18611
Gajapati,Odisha,577817,84.2,18.88
Ganderbal,Jammu and Kashmir,297446,74.81,34.15
Gandhinagar,Gujarat,1391753,72.68,23.22
Ganganagar,Rajasthan,1969168,73.814583,29.957052
Ganjam,Odisha,3529031,85.05,19.383
Garhwa,Jharkhand,1322784,83.81,24.17
Garhwal,Uttarakhand,687271,78.06,30.33
Gariaband ,Chhattisgarh,597653,82.0621,20.6328
Gautam Buddha Nagar,Uttar Pradesh,1648115,77.38907,28.53326
Gaya,Bihar,4391418,85.01667,24.75
Ghaziabad,Uttar Pradesh,3343334,77.4333,28.6667
Ghazipur,Uttar Pradesh,3620268,83.56667,25.58333
Gir Somnath ,Gujarat,1217477,70.404093,20.894932
Giridih,Jharkhand,2445474,86.31083,24.18139
Goalpara,Assam,1008183,90.62,26.17
Godda,Jharkhand,1313551,87.22,24.83
Golaghat,Assam,1066888,93.96954,26.50896
Gomati ,Tripura,429237,91.49925,23.56277
Gonda,Uttar Pradesh,3433919,81.93333,27.13333
Gondiya,Maharashtra,1322507,80.2,21.45
Gopalganj,Bihar,2562012,84.43,26.47
Gorakhpur,Uttar Pradesh,4440895,83.36667,26.75
Gulbarga,Karnataka,2566326,76.945164,17.367313
Gumla,Jharkhand,1025213,84.5,23
Guna,Madhya Pradesh,1241519,77.31667,24.65
Guntur,Andhra Pradesh,4887813,80.45,16.3
Gurdaspur,Punjab,1621725,75.4,32.0333
Gurgaon,Haryana,1514432,77.03333,28.46667
Gwalior,Madhya Pradesh,2032036,78.19306,26.215
Hailakandi,Assam,659296,92.57,24.68
Hamirpur,Himachal Pradesh,454768,76.52,31.68
Hamirpur,Uttar Pradesh,1104285,80.15,25.95
Hanumangarh,Rajasthan,1774692,74.31667,29.58333
Hapur ,Uttar Pradesh,1338311,77.78473,28.72795
Harda,Madhya Pradesh,570465,77.09,22.34
Hardoi,Uttar Pradesh,4092845,80.12,27.42
Hardwar,Uttarakhand,1890422,78.089922,29.909216
Hassan,Karnataka,1776421,76.1,13.06
Hathras ,Uttar Pradesh,1564708,78.03,27.36
Haveri,Karnataka,1597668,75.4,14.8
Hazaribagh,Jharkhand,1734495,85.35,23.98
Hingoli,Maharashtra,1177345,77.15,19.7167
Hisar,Haryana,1743931,75.7167,29.1667
Hojai ,Assam,931218,92.852173,25.999848
Hooghly ,West Bengal,5519145,88.39,22.91
Hoshangabad,Madhya Pradesh,1241350,77.72,22.75
Hoshiarpur,Punjab,1586625,75.91722,31.53222
Howrah ,West Bengal,4850029,88.26639,22.58444
Hyderabad,Telangana,3943323,78.46667,17.36667
Idukki,Kerala,1108974,76.9667,9.85
Imphal East,Manipur,412275,93.95,24.8
Imphal West,Manipur,517992,93.9,24.81667
Indore,Madhya Pradesh,3276697,75.84722,22.72056
Jabalpur,Madhya Pradesh,2463289,79.93333,23.16667
Jagatsinghapur,Odisha,1136971,86.64,20.26
Jagtial ,Telangana,985417,78.93,18.8
Jaipur,Rajasthan,6626178,75.86667,26.91667
Jaisalmer,Rajasthan,669919,70.91667,26.91667
Jajapur,Odisha,1827192,86.33333,20.85
Jalandhar,Punjab,2193590,75.57917,31.32556
Jalaun,Uttar Pradesh,1689974,79.5,26
Jalgaon,Maharashtra,4229917,75.56667,21.01667
Jalna,Maharashtra,1959046,75.88333,19.83333
Jalor,Rajasthan,1828730,72.61667,25.35
Jalpaiguri,West Bengal,2381596,88.73333,26.51667
Jammu,Jammu and Kashmir,1529958,74.85,32.73333
Jamnagar,Gujarat,1407635,70.07,22.47
Jamtara,Jharkhand,791042,86.8,23.96
Jamui,Bihar,1760405,86.22,24.92
Jangaon ,Telangana,566376,79.18,17.72
Janjgir-Champa,Chhattisgarh,1619707,82.58,22.01
Jashpur,Chhattisgarh,851669,84.15,22.9
Jaunpur,Uttar Pradesh,4494204,82.75,25.75
Jayashankar Bhupalpally ,Telangana,711434,79.59,17.99
Jehanabad,Bihar,1125313,84.98333,25.21667
Jhabua,Madhya Pradesh,1025048,74.6,22.7667
Jhajjar,Haryana,958405,76.65639,28.60611
Jhalawar,Rajasthan,1411129,76.15,24.6
Jhansi,Uttar Pradesh,1998603,78.56962,25.44862
Jhargram ,West Bengal,1136548,86.98,22.45
Jharsuguda,Odisha,579505,84.016,21.85
Jhunjhunu,Rajasthan,2137045,75.39778,28.12556
Jind,Haryana,1334152,76.31417,29.31611
Jiribam ,Manipur,43838,93.11389,24.8075
Jodhpur,Rajasthan,3687165,73.26135,26.173068
Jogulamba Gadwal ,Telangana,609990,77.8,16.23
Jorhat,Assam,924952,94.21667,26.75
Junagadh,Gujarat,1525605,70.47,21.52
Kabirdham ,Chhattisgarh,822526,81.25,22.01667
Kachchh,Gujarat,2092371,70.367,23.915
Kaimur,Bihar,1626384,83.61241,25.04059
Kaithal,Haryana,1074304,76.39667,29.80167
Kakching ,Manipur,135481,93.916881,24.403288
Kalahandi,Odisha,1576869,83.2,20.083
Kalimpong ,West Bengal,251642,88.47,27.06
Kamareddy ,Telangana,972625,78.35,18.3167
Kamjong ,Manipur,45616,94.51056,24.86556
Kamrup,Assam,1517542,92.018827,26.072011
Kamrup Metropolitan,Assam,1253938,92.018827,26.072011
Kanchipuram,Tamil Nadu,3998252,79.807251,12.833229
Kandhamal,Odisha,733110,84.23,20.47
Kangpokpi ,Manipur,193744,93.9706,25.1489
Kangra,Himachal Pradesh,1510075,76.26667,32.1
Kannauj,Uttar Pradesh,1656616,79.92,27.07
Kanniyakumari,Tamil Nadu,1870374,77.355043,8.328036
Kannur,Kerala,2523003,75.35556,11.86889
Kanpur Dehat,Uttar Pradesh,1796184,79.9672,26.3443
Kanpur Nagar,Uttar Pradesh,4581268,80.33,26.46
Kapurthala,Punjab,815168,75.38,31.38
Karaikal,Puducherry,200222,79.83194,10.93278
Karauli,Rajasthan,1458248,77.02,26.5
Karbi Anglong,Assam,660955,93.5,26
Kargil,Ladakh,140802,76.4,34.01667
Karimganj,Assam,1228686,91.77,26.14
Karimnagar,Telangana,1005711,79.12417,18.43694
Karnal,Haryana,1505324,76.98833,29.69
Karur,Tamil Nadu,1064493,78.08333,10.95
Kasaragod,Kerala,1307375,75,12.5
Kasganj,Uttar Pradesh,1436719,78.65,27.82
Kathua,Jammu and Kashmir,616435,75.605765,32.584249
Katihar,Bihar,3071029,87.58333,25.53333
